Target,Thrust Speed Average,Total thrust force,Screw revolution,Cutter Torque,Screw Torque,Soil Pressure
1,52,20.322,8.6,5.175,0.968,224
1,49,19.435,8.2,5.181,0.949,224
1,41,21.538,6.8,5.147,1.024,226
1,53,21.613,8.5,5.179,0.993,226
1,53,21.38,8.8,5.181,0.972,226
1,53,20.903,9.2,5.194,0.942,226
1,55,20.459,9.2,5.207,0.905,226
1,53,20.267,9.2,5.196,0.913,225
1,52,19.921,9.1,5.199,0.926,225
1,52,19.656,9.2,5.186,0.907,224
1,52,19.601,8.7,5.179,0.91,223
1,45,19.086,7.2,5.202,0.916,223
1,45,21.448,7.5,5.211,0.992,225
1,53,21.026,9,5.241,0.957,225
1,52,20.626,9.1,5.258,0.944,225
1,50,20.339,9,5.269,0.889,224
1,54,20.205,9.1,5.273,0.886,224
1,53,19.797,9.1,5.253,0.908,223
1,52,19.678,9,5.249,0.89,222
1,54,19.507,9,5.249,0.876,221
1,52,19.401,9,5.249,0.874,220
1,43,18.557,7.4,5.188,0.875,219
1,50,20.136,8.7,5.175,0.919,219
1,55,20.107,9,5.197,0.9,219
1,53,20.066,9,5.227,0.881,219
1,54,20.015,9,5.235,0.895,218
1,54,19.873,9,5.229,0.897,218
1,54,19.777,9,5.222,0.917,218
1,53,19.465,9,5.197,0.891,218
1,52,19.384,9,5.206,0.87,218
1,51,19.286,9,5.225,0.844,218
1,46,18.59,6.6,5.195,0.882,216
1,47,20.962,8.2,5.143,0.934,218
1,56,20.546,9.3,5.169,0.872,218
1,54,20.097,9.2,5.188,0.87,217
1,53,19.838,9.1,5.204,0.899,217
1,52,19.931,8.6,5.208,0.883,216
1,52,20.2,8.6,5.203,0.886,216
1,53,20.463,8.6,5.211,0.875,216
1,54,20.469,8.6,5.211,0.917,216
1,45,17.853,6.5,5.213,0.932,217
1,0,2.685,0,5.035,1.038,237
1,38,19.338,5.2,5.04,0.976,237
1,52,21.937,8.4,4.999,0.898,236
1,52,21.928,8.5,5.103,0.953,235
1,53,21.771,8.6,5.101,0.956,234
1,52,21.577,8.6,5.11,0.967,234
1,53,21.579,8.6,5.066,0.937,234
1,52,21.538,8.6,5.098,0.919,233
1,53,21.6,8.6,5.094,0.911,233
1,53,21.46,8.6,5.078,0.988,233
1,52,20.918,8.6,5.105,0.963,232
1,52,20.551,8.6,5.128,0.911,232
1,40,21.01,5.6,5.043,1.013,233
1,53,22.23,8.6,5.042,0.97,233
1,53,21.834,8.7,5.084,0.92,233
